"","RT01","RT02","RT03","RT04","RT05","RT06","RT07","RT08","RT09","RT10","RT11","RT12","RT13","RT14","RT15","RT16","RT17","RT18","RT19","RT20","RT21","RT22","RT23","RT24","RT25","RT26","RT27","RT28","RT29","RT30","RT31","RT32","RT33","RT34","RT35","RT36","RT37","RT38","RT39","RT40","RT41","RT42","RT43","RT44","RT45","RT46","RT47","RT48"
"hsa-let-7a-5p",5,46,5,69,13,38,88,91,0,26,26,13,23,3,17,0,145,6,30,7,7,12,8,5,1594,8,25,22,15,10,22,4,23,77,17,119,10,0,23,29,13,11,9,19,20,7,43,37
"hsa-let-7b-3p",1,0,2,2,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7b-5p",7,22,14,33,8,31,59,49,1,8,12,5,12,0,11,0,36,5,9,3,0,5,8,5,400,3,6,4,9,2,2,3,9,24,8,21,5,1,16,9,2,9,4,7,12,3,14,16
"hsa-let-7c-5p",1,1,1,0,0,2,6,35,0,0,6,0,2,0,1,0,7,0,2,0,1,3,0,1,12,0,0,1,0,5,0,0,1,3,1,5,0,0,7,1,1,0,7,3,0,0,5,1
"hsa-let-7d-3p",1,6,1,5,3,3,1,6,0,3,2,1,1,0,2,0,1,0,0,1,0,1,0,1,23,0,1,1,1,0,1,0,2,0,1,1,2,0,1,1,2,0,2,0,2,0,0,2
"hsa-let-7f-5p",4,61,8,59,18,28,137,91,1,34,17,16,15,2,4,0,94,5,27,4,3,8,3,7,786,1,28,27,23,9,13,5,22,52,20,18,23,2,50,30,12,4,13,29,18,7,121,29
"hsa-let-7g-5p",3,12,2,12,2,3,18,11,0,4,7,1,4,1,3,0,13,0,5,0,1,1,1,1,102,1,7,2,5,2,2,0,4,15,2,4,2,0,16,7,1,1,2,3,3,0,11,8
"hsa-let-7i-5p",3,18,2,23,4,20,32,24,1,15,8,9,11,2,1,0,32,0,20,1,1,3,2,4,257,1,5,9,8,7,6,0,10,16,3,8,4,1,15,9,4,2,5,4,6,1,50,22
"hsa-miR-100-5p",23,1,9,1,4,8,145,2,2,3,0,4,1,1,0,0,2,1,1,0,1,2,5,0,1,1,0,1,2,0,4,6,3,2,4,8,4,1,2,0,0,1,2,1,1,1,5,0
"hsa-miR-10395-5p",1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-103a-3p",1,7,5,18,4,2,62,18,2,4,6,4,9,3,3,0,14,1,10,0,0,1,2,3,50,1,11,5,6,2,4,1,1,8,4,3,8,1,14,17,6,1,5,4,3,2,21,11
"hsa-miR-10a-5p",158,146,227,272,384,852,569,206,39,132,55,25,67,62,123,1,215,40,59,29,16,102,82,84,197,81,44,80,81,17,424,127,186,587,476,480,66,51,159,77,73,128,68,78,122,54,185,38
"hsa-miR-10b-5p",418,369,590,457,951,1874,725,386,133,278,111,58,102,139,348,0,498,147,145,75,44,218,195,224,236,168,104,194,135,68,698,304,378,1192,822,936,141,128,382,160,177,314,158,162,278,111,405,97
"hsa-miR-12136",1,4,0,3,1,4,6,0,0,4,2,1,0,0,1,0,3,0,0,0,0,0,0,0,8,2,0,2,4,0,3,0,4,1,5,1,0,0,0,2,0,0,0,0,2,1,1,0
"hsa-miR-122-5p",2,0,1,0,0,2,0,1,0,0,0,0,1,0,3,0,1,0,0,1,0,0,0,1,18,0,0,0,0,0,0,1,0,2,4,2,0,0,0,1,0,1,0,0,2,0,0,0
"hsa-miR-125a-5p",72,110,98,129,220,431,49,127,34,82,21,13,10,14,28,0,50,6,10,6,3,16,13,13,121,7,6,13,15,8,109,19,81,156,45,78,40,10,88,52,23,18,18,23,33,8,25,30
"hsa-miR-125b-5p",7,3,5,28,5,14,28,38,1,5,1,2,4,0,0,0,5,1,1,0,0,0,0,0,2,0,0,1,1,2,6,0,6,11,0,0,4,0,4,1,0,0,1,1,1,1,0,4
"hsa-miR-126-5p",9,77,33,124,54,118,198,121,7,52,42,54,100,16,28,0,222,11,80,26,21,18,21,10,916,12,85,90,94,41,92,5,111,325,85,89,64,11,139,78,24,14,60,51,95,32,475,75
