"","Sample","Total miRNAs","Min","1st Qu.","Median","3rd Qu.","Max","Mean","sd"
"RT01A","    RT01A",51186,0,0,0,0,49100,120.4,2381.66226862393
"RT02A","    RT02A",18370,0,0,0,1,14483,43.22,704.637796299179
"RT03A","    RT03A",12004,0,0,0,1,9812,28.25,476.914336456166
"RT04A","    RT04A",13284,0,0,0,2,8432,31.26,413.078956329225
"RT05A","    RT05A",14058,0,0,0,1,10606,33.08,516.993367986109
"RT06A","    RT06A",29185,0,0,0,2,21346,68.67,1041.17218942134
"RT07A","    RT07A",13261,0,0,0,3,3709,31.2,204.03429117573
"RT08A","    RT08A",19259,0,0,0,2,13919,45.31,679.117740213096
"RT09A","    RT09A",8359,0,0,0,0,7800,19.67,378.384806569182
"RT10A","    RT10A",11955,0,0,0,1,9087,28.13,442.012992537083
"RT11A","    RT11A",12074,0,0,0,1,10002,28.41,486.279611220302
"RT12A","    RT12A",4666,0,0,0,0,3558,10.98,173.822024636157
"RT13A","    RT13A",7325,0,0,0,0,5848,17.23,284.619459909077
"RT14A","    RT14A",2641,0,0,0,0,2123,6.214,103.254442949934
"RT15A","    RT15A",7477,0,0,0,0,6292,17.59,305.769037339196
"RT17A","    RT17A",21971,0,0,0,1,16959,51.7,825.200641474753
"RT18A","    RT18A",5890,0,0,0,0,5257,13.86,255.141680624724
"RT19A","    RT19A",6305,0,0,0,0,4580,14.84,223.71466449448
"RT20A","    RT20A",2218,0,0,0,0,1730,5.219,84.1270469123786
"RT21A","    RT21A",1071,0,0,0,0,685,2.52,33.5402489836732
"RT23A","    RT23A",6104,0,0,0,0,5256,14.36,255.167417284236
"RT24A","    RT24A",11367,0,0,0,0,10171,26.75,493.56377920168
"RT25A","    RT25A",33894,0,0,1,8,13133,79.75,676.492915012532
"RT26A","    RT26A",2911,0,0,0,0,2231,6.849,108.706506834646
"RT27A","    RT27A",2958,0,0,0,1,1762,6.96,86.3206549540613
"RT28A","    RT28A",14425,0,0,0,1,12579,33.94,610.341447758864
"RT29A","    RT29A",3249,0,0,0,1,1828,7.645,89.9260617483943
"RT30A","    RT30A",2909,0,0,0,0,2196,6.845,106.931579149061
"RT31A","    RT31A",8698,0,0,0,1,5516,20.47,271.562485231535
"RT32A","    RT32A",1772,0,0,0,0,1044,4.169,53.2995230418883
"RT33A","    RT33A",7330,0,0,0,1,4902,17.25,239.177063263945
"RT34A","    RT34A",19744,0,0,0,1,13955,46.46,680.531370918014
"RT35A","    RT35A",9761,0,0,0,1,6639,22.97,326.77882406257
"RT36A","    RT36A",13000,0,0,0,1,8096,30.59,403.408218680533
"RT37A","    RT37A",5593,0,0,0,0,4477,13.16,217.570489119846
"RT38A","    RT38A",2128,0,0,0,0,1733,5.007,84.3338069091592
"RT39A","    RT39A",12619,0,0,0,1,9824,29.69,477.849848676478
"RT40A","    RT40A",14663,0,0,0,1,12508,34.5,607.073412320722
"RT42A","    RT42A",5022,0,0,0,0,3854,11.82,188.029777879966
"RT43A","    RT43A",3094,0,0,0,1,1960,7.28,95.7968280484847
"RT44A","    RT44A",3608,0,0,0,0,2557,8.489,124.591087789187
"RT45A","    RT45A",4394,0,0,0,1,2368,10.34,116.786121330427
"RT46A","    RT46A",1397,0,0,0,0,790,3.287,39.0348471199534
"RT47A","    RT47A",6189,0,0,0,1,1942,14.56,102.954887969026
"RT48A","    RT48A",8247,0,0,0,1,6389,19.41,310.937415556405
"RT11B","    RT11B",8324,0,0,0,1,5952,19.59,290.245419556979
"RT12B","    RT12B",39522,0,0,0,2,29200,92.99,1422.86601135554
"RT13B","    RT13B",12335,0,0,0,1,8899,29.02,433.837983205109
"RT14B","    RT14B",182051,0,0,4,23,89674,428.4,4474.53843813163
"RT15B","    RT15B",192315,0,0,1,9,141590,452.5,6899.28137224343
"RT16B","    RT16B",38771,0,0,0,2,31370,91.23,1524.04202381898
"RT17B","    RT17B",19144,0,0,0,1,14180,45.05,690.419010987183
"RT18B","    RT18B",28917,0,0,0,0,21969,68.04,1077.06590248781
"RT19B","    RT19B",132399,0,0,1,7,104552,311.5,5083.44290688816
