"","RT01A","RT02A","RT03A","RT04A","RT05A","RT06A","RT07A","RT08A","RT09A","RT10A","RT11A","RT12A","RT13A","RT14A","RT15A","RT17A","RT18A","RT19A","RT20A","RT21A","RT23A","RT24A","RT25A","RT26A","RT27A","RT28A","RT29A","RT30A","RT31A","RT32A","RT33A","RT34A","RT35A","RT36A","RT37A","RT38A","RT39A","RT40A","RT42A","RT43A","RT44A","RT45A","RT46A","RT47A","RT48A"
"hsa-miR-486-5p",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"hsa-miR-10b-5p",2,4,2,3,2,2,3,4,2,3,5,4,3,2,2,3,2,3,3,3,2,2,21,2,3,3,3,3,2,2,2,2,2,3,3,2,3,4,2,2,2,2,2,3,5
"hsa-miR-92a-3p",3,2,4,2,4,6,9,2,4,2,2,2,2,5,5,2,4,2,2,2,3,4,3,5,2,2,2,2,11,10,3,4,9,17,2,4,2,2,6,3,3,3,3,12,2
"hsa-miR-10a-5p",5,6,3,4,3,4,5,6,5,5,9,12,7,3,4,7,5,9,5,9,4,5,22,4,9,11,7,13,4,3,4,3,4,4,4,3,4,10,4,6,4,6,4,7,12
"hsa-miR-191-5p",4,12.5,5,8,5,3,19,12,3,6,7,13,10,4,3,8,3,12,4,7.5,5,3,2,3,5,6,8,10.5,3,4,5,6,3,2,13,5,10,6,3,4,7,4,5,5,4
"hsa-miR-423-5p",10.5,5,8,5,8,8,10,3,8,4,3,3,6,14.5,11,4,12.5,6,7,7.5,6,6,7,10,7,8,9,7,8,10,7.5,8,10,15,7,6,6,3,8.5,8,8,9,8,16,3
"hsa-miR-26a-5p",17,8,11,6,10,10,8,7,11,9,8,6,8,10,12,9,16,14,11,5,12,14,4,8,6,4,6,5,6,10,6,9,8,8,9.5,13,12,8,7,9,9,7,10,4,6.5
"hsa-miR-181a-5p",15,7,9,9,11,12,13,8,9,10,6,11,9,6,8,5,6,4,8,4,7,7,13,7,10,12,11,9,12,10,10,7,5,15,11,7,11,7,10,11,5,10,9,13,10
"hsa-miR-126-5p",27,12.5,15,13,13,15,14,11,16,15,12,5,4,7.5,9.5,6,10.5,7,6,6,9,19,8,11,4,7,4,4,9,16,7.5,5,6,9,5.5,9,5,9,14,7,6,8,6,2,8
"hsa-miR-22-3p",14,11,12,10,14,16,2,13.5,14,12,10,8.5,11,12.5,19,11,29.5,10,9.5,10.5,8,10,6,15.5,8,5,5,10.5,13,10,9,10,15,13,14,37.5,13,11,16.5,5,10,5,7,8,11
"hsa-miR-30d-5p",12.5,10,13,12,12,9,20,13.5,10,7,18.5,19,17.5,14.5,15,16,9,20,25,13,13,9,10,26,15,15,14,25.5,14.5,26.5,15,14,14,15,18.5,11,16,17,12.5,14,18,14,12.5,23.5,16
"hsa-miR-125a-5p",7,9,6,11,6,5,35.5,9,6,11,15.5,17.5,23,9,9.5,19,19,26,19,25.5,14,16,29,20,32,25.5,22.5,21,7,6,11,11,12,10.5,9.5,10,9,13,11,15,14,15,17.5,35.5,14
"hsa-miR-150-5p",22.5,3,10,7,9,13,31,5,12,8,4,8.5,5,12.5,16.5,10,26.5,5,14.5,15.5,17,30,37.5,12.5,17,9,10,6,27.5,16,18,15,25,30.5,18.5,22.5,18,15,27,39.5,11,28,21,53.5,18
"hsa-miR-99b-5p",6,16,7,18,7,7,44,21,7,14,21,39,23,11,6,24,16,40,22,20,24,12.5,45.5,14,37,41,25,45,5,5,16,19,7,5,12,8,19,16,5,16.5,20,19,21,38,25.5
"hsa-miR-16-5p",10.5,18,19,14,17,24.5,12,18,20.5,13,14,7,12,17.5,21,14,26.5,13,9.5,13,10.5,8,14,26,13,14,13,16.5,17,43,12,13,16,19,8,275,8,12,12.5,11,16,12,16,6,9
"hsa-miR-142-5p",24.5,17,17.5,19,18,19,15,19,17.5,19,11,14,13,17.5,21,13,8,11,19,20,21.5,15,24,6,11,13,15,12,14.5,277.5,14,12,11,21,17,37.5,15,14,22.5,13,13,11,11,9,17
"hsa-miR-451a",9,20,17.5,16,22,27,7,10,20.5,16,17,10,15,54.5,31.5,17,14,8,28.5,10.5,10.5,11,23,22,18,10,12,8,18.5,277.5,13,16,19,26.5,5.5,18.5,7,5,18.5,11,15,13,15,10,6.5
"hsa-miR-151a-3p",18,25,16,26,16,14,35.5,32.5,13,26,24,30,23,17.5,14,21.5,12.5,26,19,20,21.5,17,12,26,16,48.5,20,34,16,19,20,26,17.5,10.5,34,18.5,25.5,21,15,16.5,25,17.5,17.5,23.5,34
"hsa-let-7f-5p",44.5,14,33.5,17,25,31,18,15.5,54.5,18,21,15,17.5,37,31.5,15,23,16,25,25.5,33,23.5,9,51.5,12,17,16,20,29,16,23.5,21,21,22.5,15,22.5,14,19,32.5,20,12,22.5,21,14,15
"hsa-miR-25-3p",12.5,25,30.5,27,23.5,21,22.5,24.5,20.5,20,28,16,28.5,37,23.5,26,16,19,22,15.5,18.5,12.5,28,21,20,16,32.5,14,24,43,17,24,22,26.5,23.5,16,17,18,16.5,18,32,16,37.5,29.5,19
"hsa-miR-27b-3p",44.5,22,35,21.5,20,28.5,11,27,34,21.5,23,23.5,16,37,71,18,35,21,14.5,20,18.5,30,17,26,19,20,18,16.5,22,26.5,21.5,20,30,24.5,21.5,275,20,30,35.5,22,20,20,12.5,11,22
"hsa-miR-30a-5p",88,25,25,28,19,20,32,29,54.5,32,40,39,40.5,37,29,31,29.5,22.5,16.5,33,15.5,26,65,51.5,28.5,23,22.5,25.5,25,26.5,30.5,18,31,32,16,13,21,30,24.5,29.5,23,32.5,26,17,42.5
"hsa-let-7a-5p",38.5,19,41,15,33,26,22.5,15.5,284,25,13,17.5,14,25.5,13,12,19,15,16.5,13,21.5,30,5,18,14,19,22.5,18.5,23,19,21.5,17,23,7,20,275,22.5,20,18.5,24.5,17,21,21,25,13
"hsa-miR-151a-5p",44.5,33.5,25,25,33,24.5,44,34,23,34,26.5,39,26,25.5,21,24,35,30.5,25,33,45,22,16,12.5,21,27.5,17,18.5,21,277.5,19,29,17.5,18,28,22.5,39,26.5,20.5,29.5,25,17.5,37.5,22,31
"hsa-miR-186-5p",38.5,40,30.5,36,28,35,37,36,54.5,27,29.5,49.5,32,37,26.5,36.5,35,34.5,34.5,25.5,33,39,34,32.5,41.5,41,32.5,45,32,43,23.5,22.5,24,22.5,34,37.5,36.5,24,27,20,25,24.5,26,29.5,25.5
